Description,Location,Category,Sub-Category,Land Size(M2),Building Size(M2),Car Space,Bedrooms,Bathrooms,Longitude,Latitude,Condominum Name,Price(Php),Link,NAME_2
"Brand New 3-Storey House and Lot for Sale in AFPOVAI,Fort Bonifacio,Taguig City",Taguig,House,"House,single-family-house",200,410,3,4,4,121.0632793,14.5139759,None,47800000,https://www.lamudi.com.ph/brand-new-3-storey-house-and-lot-for-sale-in-afpovai-fort-bonifacio-taguig-city.html,Taguig
"For Sale : House and Lot in AFPOVAI, Fort Bonifacio, Taguig City! 4 Bedroom",Taguig,House,"House,townhouse",200,410,4,4,4,121.0632793,14.5139759,None,46800000,https://www.lamudi.com.ph/afpovai-4-bedroom-4br-house-and-lot-for-sale-in-fort-bonifacio-taguig-city.html,Taguig
For Sale 2 Bedroom in Proscenium Lorraine Tower by Rockwell Makati,"Rockwell, Makati",Condominium,"Condominium,double-bedroom",None,96,1,2,2,121.036339,14.562949,Proscenium at Rockwell,38500000,https://www.lamudi.com.ph/for-sale-2-bedroom-in-proscenium-lorraine-tower-by-rockwell-makati.html,Makati
"1 Bedroom Unit for Sale in Bellagio Tower, Fort Bonifacio, Taguig City","Fort Bonifacio, Taguig",Condominium,"Condominium,single-bedroom",None,59.5,None,1,1,121.050318,14.540867,The Bellagio,13500000,https://www.lamudi.com.ph/bellagio-tower-fully-furnished-condo-for-sale-in-bgc-taguig-nr-market-market.html,Taguig
Brand New Grand Hyatt Residences For Sale 5 Bedroom Condo Bgc Taguig City,"Fort Bonifacio, Taguig",Condominium,"Condominium,other-4",None,300,None,5,4,121.050318,14.540867,Grand Hyatt Residences,150000000,https://www.lamudi.com.ph/brand-new-grand-hyatt-residences-for-sale-5-bedroom-condo-bgc-taguig-city.html,Taguig
"2BR E High-Rise Condo Unit for Sale at Allegra Garden Place in Bagong Ilog, Pasig Cit...","Bagong Ilog, Pasig",Condominium,"Condominium,double-bedroom",None,60,None,2,1,121.06744,14.56406,Allegra Garden Place,7589000,https://www.lamudi.com.ph/2br-e-high-rise-condo-unit-for-sale-at-allegra-garden-place-in-bagong-ilog-pasig-city-amina-building.html,Pasig
"Fully Furnished House and Lot for Sale in AFPOVAI, Fort Bonifacio, Taguig City","Fort Bonifacio, Taguig",House,"House,single-family-house",450,560,4,5,5,121.0632793,14.5139759,None,78000000,https://www.lamudi.com.ph/fully-furnished-house-and-lot-for-sale-in-afpovai-fort-bonifacio-taguig-city.html,Taguig
"Central Park West BGC,Taguig City Two Bedroom For Sale P18M DBO","Fort Bonifacio, Taguig",Condominium,"Condominium,double-bedroom",None,72,1,2,2,121.049496,14.6610729,Central Park West,18000000,https://www.lamudi.com.ph/central-park-west-bgc-north-bonifacio-district-taguig-city-two-bedroom-for-sale.html,Taguig
East Gallery Place 3 bedroom 242 sqm unit C,"Fort Bonifacio, Taguig",Condominium,"Condominium,3-bedroom",None,242,None,3,4,121.050318,14.540867,East Gallery Place,120000000,https://www.lamudi.com.ph/east-gallery-place-3-bedroom-242-sqm-unit-c.html,Taguig
"House and Lot For Sale in Mckinley Hill Village, Taguig City","McKinley Hill, Taguig",House,"House,single-family-house",189,513,4,5,6,121.0553,14.53712,None,130000000,https://www.lamudi.com.ph/house-and-lot-for-sale-in-mckinley-hill-village-ta-165864737618.html,Taguig
"Residential Lot for Sale Located at Playa Laiya in San Juan, Batangas","Laiya-Aplaya, San Juan",Land,"Land,residential-lot",128,None,None,None,None,121.379905,13.691466,None,9202200,https://www.lamudi.com.ph/residential-land-lot-for-sale-located-at-playa-laiya-in-san-juan-batangas.html,San Juan
For Sale South Greenheights Executive Village House And Lot Package Muntinlupa,"Putatan, Muntinlupa",House,"House,single-family-house",70,85,1,3,2,121.0259809,14.39543002,None,4837250,https://www.lamudi.com.ph/for-sale-south-greenheights-executive-village-house-and-lot-package-muntinlupa.html,Muntinlupa
Urdaneta Village Makati House For Sale,"Urdaneta, Makati",House,"House,single-family-house",1111,1200,None,6,7,121.029209,14.555756,None,650000000,https://www.lamudi.com.ph/urdaneta-village-makati-house-for-sale-73.html,Makati
House And Lot Package For Sale At Victorini Heights Nr. Alabang Muntinlupa,"Putatan, Muntinlupa",House,"House,single-family-house",123,105,1,3,2,121.036376,14.398367,None,7701600,https://www.lamudi.com.ph/house-and-lot-package-for-sale-at-victorini-heights-nr-alabang-muntinlupa.html,Muntinlupa
"For Sale: Special 2 Bedroom at Red Oak, Two Serendra w/ unobstructed view Taguig","Fort Bonifacio, Taguig",Condominium,"Condominium,double-bedroom",None,110,1,2,3,121.050318,14.540867,Two Serendra,28000000,https://www.lamudi.com.ph/for-sale-special-2-bedroom-at-red-oak-two-serendra-w-unobstructed-view-taguig.html,Taguig
Magallanes Village Semi furnished 5 Bedroom House for Sale in Makati City Nr.BGC,"Poblacion, Makati",House,"House,single-family-house",353,332,None,5,5,121.032076,14.56568,None,129000000,https://www.lamudi.com.ph/magallanes-village-semi-furnished-5-bedroom-house-for-sale-in-makati-city-nr-bgc.html,Makati
For sale Townhouse In Katarungan Village Muntinlupa (Ready For Occupancy),"Poblacion, Muntinlupa",House,"House,townhouse",59,120,None,4,None,121.0397331,14.4133968,None,7300000,https://www.lamudi.com.ph/for-sale-townhouse-in-katarungan-village-muntinlupa-ready-for-occupancy.html,Muntinlupa
"3-Storey Single Detached House for Sale in Greenwoods Executive Village, QC!","Pinagbuhatan, Pasig",House,"House,single-family-house",350,150,None,5,4,121.0977,14.549724,None,16000000,https://www.lamudi.com.ph/3-storey-single-detached-house-for-sale-in-greenwoods-executive-village-qc.html,Pasig
2 bedroom unit Acacia Estates Taguig for Sale,"Ususan, Taguig",Condominium,"Condominium,double-bedroom",None,63,0,2,1,121.0632793,14.5139759,CEDAR CREST ACACIA ESTATES DMCI,7500000,https://www.lamudi.com.ph/2-bedroom-unit-acacia-estatest-taguig.html,Taguig
Studio Unit In Shang Salcedo Makati,"Salcedo Village, Makati",Condominium,"Condominium,studio",None,35,1,1,1,121.0275016,14.5570169,Shang Salcedo Place,9800000,https://www.lamudi.com.ph/studio-unit-in-shang-salcedo-makati.html,Makati
"House and Lot for Sale in Capitol Homes, Quezon City","Matandang Balara, Quezon City",House,"House,single-family-house",663,850,5,5,5,121.082236,14.665648,None,100000000,https://www.lamudi.com.ph/quezon-city-house-and-lot-for-sale-in-capitol-home-165951650339.html,Quezon City
Capitol Homes House and Lot for Sale in Quezon City!,"Matandang Balara, Quezon City",House,"House,single-family-house",663,850,5,5,5,121.082236,14.665648,None,100000000,https://www.lamudi.com.ph/capitol-homes-5-bedroom-house-and-lot-for-sale-que-165951648244.html,Quezon City
"House and Lot Capitol Homes, Matandang Balara, Quezon City","Matandang Balara, Quezon City",House,"House,single-family-house",663,850,5,5,5,121.082236,14.665648,None,100000000,https://www.lamudi.com.ph/modern-house-and-lot-for-sale-in-capitol-homes-mat-165951644562.html,Quezon City
Capitol Homes Brand New 2-Storey House and Lot for Sale in Quezon City,"Batasan Hills, Quezon City",House,"House,single-family-house",663,850,None,5,5,121.096563,14.681641,None,100000000,https://www.lamudi.com.ph/capitol-homes-brand-new-2-storey-house-and-lot-for-165951657641.html,Quezon City
"Brand New 3 Bedroom Condo for Sale in Grand Hyatt Residences, BGC, Taguig","Fort Bonifacio, Taguig",Condominium,"Condominium,3-bedroom",None,300,3,3,2,121.050318,14.540867,Grand Hyatt Residences,137000000,https://www.lamudi.com.ph/brand-new-3-bedroom-condo-for-sale-in-grand-hyatt-residences-bgc-taguig.html,Taguig
Interior Designed 3 Bedroom Unit For Sale at The Suites by Ayala Land Premier,"Fort Bonifacio, Taguig",Condominium,"Condominium,3-bedroom",None,209,2,3,4,121.050318,14.540867,The Suites,110000000,https://www.lamudi.com.ph/interior-designed-3-bedroom-unit-for-sale-at-the-suites-by-ayala-land-premier-bg.html,Taguig
For Sale 2Bedroom Condominium in Radiance Manila Bay Rent to Own 5% Down Move-in,"Roxas Boulevard, Manila",Condominium,"Condominium,double-bedroom",None,80,None,2,1,120.9895887,14.551476,Radiance Manila Bay,3547538,https://www.lamudi.com.ph/for-sale-2bedroom-condominium-in-radiance-manila-bay-rent-to-own-5-down-move-in.html,Manila
Rent to Own Condo - Pioneer Woodlands,"Boni Avenue, Mandaluyong",Condominium,"Condominium,double-bedroom",None,50,None,2,1,121.041386,14.575547,None,8000000,https://www.lamudi.com.ph/rent-to-own-condo-pioneer-woodlands.html,Mandaluyong
For Sale 1-BR Condo in Sapphire Bloc Pasig Ortigas for Rent to Own 9k monthly,"Ortigas CBD, Pasig",Condominium,"Condominium,single-bedroom",None,36,None,1,1,121.059675,14.583771,Sapphire Bloc,10200000,https://www.lamudi.com.ph/for-sale-1-br-condo-in-sapphire-bloc-pasig-ortigas-for-rent-to-own-9k-monthly.html,Pasig
Studio Unit Condominium for sale in Pasig City,"Ortigas Avenue, Pasig",Condominium,"Condominium,studio",None,32,None,1,1,121.081755,14.590053,Skyway Twin Towers,2200000,https://www.lamudi.com.ph/studio-unit-condominium-for-sale-in-pasig-city-2.html,Pasig
West Fairview Modern Townhouse for sale,"Fairview, Quezon City",House,"House,townhouse",100,230,None,3,3,121.06821,14.702178,None,12000000,https://www.lamudi.com.ph/west-fairview-modern-townhouse-for-sale.html,Quezon City
Tandang Sora via Philand Drive Townhouse for sale,"Tandang Sora, Quezon City",House,"House,townhouse",67,150,None,3,3,121.042788,14.6820013,None,8500000,https://www.lamudi.com.ph/tandang-sora-via-philand-drive-townhouse-for-sale.html,Quezon City
"For Sale: Seafront Residences, 3 Bedroom Beach Home at San Juan City Batangas","Calubcub II, San Juan",House,"House,beach-house",200,100,2,3,2,121.376174,13.726231,None,11590000,https://www.lamudi.com.ph/for-sale-seafront-residences-3-bedroom-beach-home-at-san-juan-city-batangas.html,San Juan
"House For Sale in Mahogany Place 3, Acacia Estates, Taguig City","Bambang, Taguig",House,"House,single-family-house",150,332,2,3,3,121.06934,14.524033,None,36000000,https://www.lamudi.com.ph/house-for-sale-in-mahogany-place-3-acacia-estates-taguig-city.html,Taguig
"For Sale Affordable Studio Unit in San Miguel, Pasig City, Metro Manila","San Miguel, Pasig",Condominium,"Condominium,studio",None,23.7,None,1,1,121.092265,14.567197,Amaia Steps Pasig,3199000,https://www.lamudi.com.ph/for-sale-affordable-studio-unit-in-san-miguel-pasig-city-metro-manila.html,Pasig
"DISCOVERY PRIMEA: 3BR For Sale, 409 sqm, Furnished, with balcony, 3 parking","Urdaneta, Makati",Condominium,"Condominium,3-bedroom",None,409,3,3,4,121.029209,14.555756,Discovery Primea,180000000,https://www.lamudi.com.ph/discovery-primea-3br-for-sale-409-sqm-furnished-with-balcony-3-parking.html,Makati
"Two Bedroom Unit for Sale in Paragon Plaza, Mandaluyong City","Barangka Ilaya, Mandaluyong",Condominium,"Condominium,double-bedroom",None,85,None,2,3,121.04641,14.571338,Paragon Plaza,6350000,https://www.lamudi.com.ph/two-bedroom-unit-for-sale-in-paragon-plaza-mandalu-165877114919.html,Mandaluyong
"Condominium unit for Sale in BGC, Taguig City,Fort Bonifacio at Arya Residences!","Fort Bonifacio, Taguig",Condominium,"Condominium,double-bedroom",None,135,1,2,2,121.050318,14.540867,Arya Residences,40950000,https://www.lamudi.com.ph/arya-residences-2-bedroom-condo-for-sale-in-bgc-taguig-nr-uptown-mall.html,Taguig
"The Suites 4BR Condo for Sale Fort Bonifacio, BGC, Taguig City","Fort Bonifacio, Taguig",Condominium,"Condominium,4-bedroom",None,277,3,4,4,121.050318,14.540867,The Suites At One Bonifacio High Street,175000000,https://www.lamudi.com.ph/for-sale-double-corner-unit-4-bedroom-condo-in-the-suites-fort-bonifacio-bgc.html,Taguig
"BGC, Taguig City Condo for Sale in The Suites","Fort Bonifacio, Taguig",Condominium,"Condominium,4-bedroom",None,277,3,4,4,121.050318,14.540867,The Suites At One Bonifacio High Street,175000000,https://www.lamudi.com.ph/for-sale-fully-furnished-4-bedroom-corner-condo-unit-in-the-suites-bgc-taguig.html,Taguig
"For Sale 4 Bedroom 4br Condo in Uptown Ritz, Fort Bonifacio,Bgc, Taguig -Ds88813","Fort Bonifacio, Taguig",Condominium,"Condominium,4-bedroom",None,159.1,1,4,4,121.050318,14.540867,Uptown Ritz Residences,51300000,https://www.lamudi.com.ph/for-sale-4-bedroom-4br-condo-in-uptown-ritz-fort-bonifacio-bgc-taguig-ds88813.html,Taguig
For Sale Trump Tower | Three Bedroom Corner Unit in Makati - DS88875,"Poblacion, Makati",Condominium,"Condominium,3-bedroom",None,193.3,2,3,4,121.0285574,14.5651917,Trump Tower,80000000,https://www.lamudi.com.ph/for-sale-trump-tower-three-bedroom-corner-unit-in-makati-ds88875.html,Makati
"For Sale Forbeswood Heights 1 Bedroom 1BR Unit in Fort BGC,Taguig","Fort Bonifacio, Taguig",Condominium,"Condominium,single-bedroom",None,59,1,1,1,121.050318,14.540867,Forbeswood Heights,11000000,https://www.lamudi.com.ph/for-sale-forbeswood-heights-1-bedroom-1br-unit-in-165897809074.html,Taguig
For Sale Forbeswood Heights 3BR Condo at Fort Bonifacio BGC Taguig -  DS88938,"Fort Bonifacio, Taguig",Condominium,"Condominium,3-bedroom",None,143.5,None,3,3,121.0448614,14.5512499,Forbeswood Heights,25000000,https://www.lamudi.com.ph/for-sale-forbeswood-heights-3br-condo-at-fort-bonifacio-bgc-taguig-ds88938.html,Taguig
"For Sale Avida at 34th St. 2 Bedroom Condo in Fort Bonifacio, BGC Taguig-DS88787","Fort Bonifacio, Taguig",Condominium,"Condominium,double-bedroom",None,74,2,2,2,121.050318,14.540867,Avida Towers 34th Street,18000000,https://www.lamudi.com.ph/for-sale-avida-at-34th-st-2-bedroom-condo-in-fort-bonifacio-bgc-taguig-ds88787.html,Taguig
"For Sale  F1 Hotel Manila Studio type Condo in BGC, Taguig Nr. SM Aura, St.Lukes","Fort Bonifacio, Taguig",Condominium,"Condominium,studio",None,41.08,None,1,1,121.050318,14.540867,F1 Hotel Manila,8000000,https://www.lamudi.com.ph/for-sale-f1-hotel-manila-studio-type-condo-in-bgc-taguig-nr-sm-aura-st-lukes.html,Taguig
"Penthouse Unit Condo for Sale in Makati City, Edsa Avenue, Brio Tower","Guadalupe Viejo, Makati",Condominium,"Condominium,4-bedroom",None,230,None,4,3,121.040676,14.564421,Brio Tower,55000000,https://www.lamudi.com.ph/for-sale-brio-tower-fully-furnished-4-bedroom-condo-in-edsa-ave-makati-city.html,Makati
For Sale Two Serendra Almond | Studio Unit in BGC Taguig DS881064,"Fort Bonifacio, Taguig",Condominium,"Condominium,studio",None,43,1,1,1,121.0539224,14.54884675,Two Serendra,12825000,https://www.lamudi.com.ph/for-sale-two-serendra-almond-studio-unit-in-bgc-taguig-ds881064.html,Taguig
"For Sale Duplex House at AFPOVAI, Taguig City, Metro Manila!","Western Bicutan, Taguig",House,"House,townhouse",200,410,4,4,5,121.036376,14.517219,None,46800000,https://www.lamudi.com.ph/for-sale-brand-new-duplex-house-and-lot-in-taguig-166001577425.html,Taguig
Makati Condo for Sale in Brio Tower Penthouse Unit Loft type,"Guadalupe Viejo, Makati",Condominium,"Condominium,penthouse-1",None,230,4,4,3,121.040676,14.564421,Brio Tower,55000000,https://www.lamudi.com.ph/makati-condo-for-sale-in-brio-tower-penthouse-unit-165874346618.html,Makati
"For Sale Fully Furnished 1-Bedroom Condo in Two Serandra, BGC, Taguig","Fort Bonifacio, Taguig",Condominium,"Condominium,single-bedroom",None,56,1,1,1,121.050318,14.540867,Two Serendra,15500000,https://www.lamudi.com.ph/for-sale-fully-furnished-1-bedroom-condo-in-two-serandra-bgc-taguig.html,Taguig
"For Sale Fort Victoria Two Bedroom Unit  - BGC, Taguig City - DS881421","Fort Bonifacio, Taguig",Condominium,"Condominium,loft-1",None,45.39,1,2,1,121.0456818,14.5469433,Fort Victoria,10000000,https://www.lamudi.com.ph/for-sale-fort-victoria-two-bedroom-unit-bgc-taguig-city-ds881421.html,Taguig
For Sale Fort Victoria Fully Furnished 2BR Condo  - with Golf Course View Fort BGC,"Fort Bonifacio, Taguig",Condominium,"Condominium,double-bedroom",None,45.38,None,2,2,121.0456818,14.5469433,Fort Victoria,8000000,https://www.lamudi.com.ph/for-sale-fort-victoria-fully-furnished-2br-condo-with-golf-course-view-fort-bgc.html,Taguig
For Sale Trion Tower 1BR Condo Unit in BGC Taguig City- DS881737,"Fort Bonifacio, Taguig",Condominium,"Condominium,single-bedroom",None,37.8,None,1,1,121.0494,14.54595,The Trion Towers,9500000,https://www.lamudi.com.ph/for-sale-trion-tower-1br-condo-unit-in-bgc-taguig-city-ds881737.html,Taguig
Commercial Building in Marcos Highway For Sale in Pasig City,"Dela Paz, Pasig",Commercial,"Commercial,building",1203,0,None,None,None,121.097996,14.612889,None,220000000,https://www.lamudi.com.ph/commercial-building-in-marcos-highway-for-sale-in-pasig-city.html,Pasig
"Brand New Corner Unit 1 Bedroom Condo for Sale in BGC, Taguig East Gallery Place","Fort Bonifacio, Taguig",Condominium,"Condominium,single-bedroom",None,74,1,1,1,121.050318,14.540867,East Gallery Place,27000000,https://www.lamudi.com.ph/brand-new-corner-unit-1-bedroom-condo-for-sale-in-bgc-taguig-east-gallery-place.html,Taguig
The Suites at Bonifacio Global City Taguig For Sale Prime Condominium,"Fort Bonifacio, Taguig",Condominium,"Condominium,4-bedroom",None,286,None,4,4,121.050318,14.540867,THE SUITES,160000000,https://www.lamudi.com.ph/the-suites-at-bonifacio-global-city-taguig-for-sale-prime-condominium.html,Taguig
"83 sqm Fully Furnished 1-BR Condominium with Balcony for Sale at BGC, Taguig","Fort Bonifacio, Taguig",Condominium,"Condominium,single-bedroom",None,83,None,1,1,121.050318,14.540867,South of Market,17500000,https://www.lamudi.com.ph/83-sqm-fully-furnished-1-br-condominium-with-balcony-for-sale-at-bgc-taguig.html,Taguig
Corner lot 634sqm walking distance from SM Fairview 24hrs security Php33M,"Fairview, Quezon City",Land,"Land,residential-lot",634,None,None,None,None,121.023475,14.616088,None,33000000,https://www.lamudi.com.ph/corner-lot-634sqm-walking-distance-from-sm-fairview-24hrs-security-php33m.html,Quezon City
"Almost Brand New 2 Bedroom Condo For Sale In One Shangri-La Place, Mandaluyong","Wack-Wack Greenhills, Mandaluyong",Condominium,"Condominium,double-bedroom",None,64,2,2,3,121.053333,14.592173,One Shangri-La Place,90000000,https://www.lamudi.com.ph/almost-brand-new-2-bedroom-condo-for-sale-in-one-shangri-la-place-mandaluyong.html,Mandaluyong
"Rush Sale! 340 Sqm Prime Lots For Sale Tivoli Royale, Qc! Nr. Don Antonio Royale","Commonwealth, Quezon City",Land,"Land,residential-lot",340,None,None,None,None,121.082236,14.696697,None,39100000,https://www.lamudi.com.ph/rush-sale-340-sqm-prime-lots-for-sale-tivoli-royale-qc-nr-don-antonio-royale.html,Quezon City
"Tivoli Royale Prime 2 Adjacent Lots for Sala in QC! Commonwealth, with views","Matandang Balara, Quezon City",Land,"Land,residential-lot",340,None,None,None,None,121.082236,14.665648,None,39100000,https://www.lamudi.com.ph/tivoli-royale-prime-2-adjacent-lots-for-sala-in-qc-commonwealth-with-views.html,Quezon City
Building Commercial in Makati City,"Makati Avenue, Makati",Commercial,"Commercial,offices",264,2156.78,6,None,None,121.0271,14.55973,None,275000000,https://www.lamudi.com.ph/building-commercial-in-makati-city-165995165169.html,Makati
Commercial Building for Sale in Quezon City Along Quezon Ave. Big Lot for Sale,"Cubao, Quezon City",Commercial,"Commercial,building",2000,3301.9,None,None,None,121.0572,14.61777,None,400000000,https://www.lamudi.com.ph/commercial-building-for-sale-in-quezon-city-along-quezon-ave-big-lot-for-sale.html,Quezon City
"For Sale Commercial Building for Sale in Quezon Ave. , Quezon City","Quezon Avenue, Quezon City",Commercial,"Commercial,building",2000,3301.9,None,None,None,121.0232,14.63518,None,400000000,https://www.lamudi.com.ph/for-sale-quezon-ave-commercial-building-in-qc-5-storey-near-diliman-katipunan.html,Quezon City
"For Sale The Veranda Studio type Penthouse Unit Condo  in BGC, Taguig","Western Bicutan, Taguig",Condominium,"Condominium,studio",None,31,None,1,1,121.0486932,14.50492289,The Veranda BGC,6500000,https://www.lamudi.com.ph/for-sale-the-veranda-studio-type-penthouse-unit-condo-in-bgc-taguig.html,Taguig
For Sale Afpovai | Brand New 3-Storey Apartment Building  Fort Bonifacio-DS882732,"Western Bicutan, Taguig",Apartment,"Apartment,apartments",None,900,None,20,None,121.036376,14.517219,None,98000000,https://www.lamudi.com.ph/for-sale-afpovai-brand-new-3-storey-apartment-building-fort-bonifacio-ds882732.html,Taguig
"Fully furnished Commercial/Residential Building Mandaluyong City, Highway Hills","Highway Hills, Mandaluyong",Commercial,"Commercial,building",279,1674,7,None,None,121.052143,14.578255,None,107000000,https://www.lamudi.com.ph/fully-furnished-commercial-residential-building-mandaluyong-city-highway-hills.html,Mandaluyong
For Sale Commercial Building in Makati City Makati Ave.,"Makati Avenue, Makati",Commercial,"Commercial,building",264,2156.78,6,None,None,121.0271,14.55973,None,275000000,https://www.lamudi.com.ph/for-sale-commercial-building-in-makati-city-makati-165995162028.html,Makati
For Sale Makati Ave. 10-Storey Office Commercial Building Makati City,"Makati Avenue, Makati",Commercial,"Commercial,building",264,2156.78,6,None,None,121.0271,14.55973,None,275000000,https://www.lamudi.com.ph/for-sale-makati-ave-10-storey-office-commercial-bu-16595835067.html,Makati
"Good Location! Corner Office Building in Makati Ave. Nr. Greenbelt,BGC,Glorietta","Makati Avenue, Makati",Commercial,"Commercial,building",264,2156.78,6,None,None,121.0271,14.55973,None,275000000,https://www.lamudi.com.ph/good-location-corner-office-building-in-makati-ave-nr-greenbelt-bgc-glorietta.html,Makati
"Commercial Lot for Sale in Quezon City, Quezon Ave.","Cubao, Quezon City",Land,"Land,commercial-lot",2000,3301,None,None,None,121.0572,14.61777,None,400000000,https://www.lamudi.com.ph/quezon-ave-2-000sqm-prime-commercial-lot-qc-with-existing-structure-nr-diliman.html,Quezon City
"For Sale Prime Commercial Corner Lot  in Blue Ridge A, Quezon City Along C5","Blue Ridge A, Quezon City",Land,"Land,commercial-lot",1075.5,None,None,None,None,121.0443089,14.6621443,None,215000000,https://www.lamudi.com.ph/for-sale-prime-commercial-corner-lot-in-blue-ridge-a-quezon-city-along-c5.html,Quezon City
Corner Office Commercial Building in Makati City Along Makati Ave.,"Ayala Avenue, Makati",Commercial,"Commercial,building",264,2156.78,6,None,None,121.0218,14.55659,None,275000000,https://www.lamudi.com.ph/corner-office-commercial-building-in-makati-city-a-16599515676.html,Makati
"Prime Commercial Corner Lot  in Blue Ridge A, Quezon City Along C5 Nr. Katipunan","Blue Ridge A, Quezon City",Land,"Land,commercial-lot",1075.5,None,None,None,None,121.07328,14.618791,None,215000000,https://www.lamudi.com.ph/prime-commercial-corner-lot-in-blue-ridge-a-quezon-city-along-c5-nr-katipunan.html,Quezon City
"For Sale 5-Unit Income Generating Apartment  in Cubao, Quezon City-DS882559","Cubao, Quezon City",Apartment,"Apartment,apartments",None,524,None,5,5,121.0572,14.61777,None,120000000,https://www.lamudi.com.ph/for-sale-5-unit-income-generating-apartment-in-cubao-quezon-city-ds882559.html,Quezon City
For Sale Commercial Lot  at Quezon City with Building Lower price! Rush Sale!,"Quezon Avenue, Quezon City",Land,"Land,commercial-lot",2000,None,None,None,None,121.0232,14.63518,None,400000000,https://www.lamudi.com.ph/for-sale-commercial-lot-at-quezon-city-with-building-lower-price-rush-sale.html,Quezon City
"3 Storey House and Lot For Sale in Mckinley Hill, Taguig City","McKinley Hill, Taguig",House,"House,single-family-house",189,513,4,5,6,121.0553,14.53712,None,130000000,https://www.lamudi.com.ph/3-storey-house-and-lot-for-sale-in-mckinley-hill-t-165864757664.html,Taguig
Quezon City House and Lot for Sale in Greenmeadows Subdivision!,Quezon City,House,"House,single-family-house",805,500,3,3,4,121.0443089,14.6621443,None,250000000,https://www.lamudi.com.ph/for-sale-greenmeadows-subdivision-3br-luxurious-house-in-quezon-city-ds882264.html,Quezon City
"For Sale Semi furnished 4 Bedroom Modern House in Mckinley Hill Village, Taguig","Fort Bonifacio, Taguig",House,"House,single-family-house",198,450,4,4,5,121.050318,14.540867,None,85000000,https://www.lamudi.com.ph/for-sale-semi-furnished-4-bedroom-modern-house-in-165864727738.html,Taguig
"For Sale Valle Verde 6 Brand New 3-Storey Townhouse in Pasig nr. Eastwood, Timog","Ugong, Pasig",House,"House,townhouse",195,467,3,5,5,121.0755364,14.58343059,None,100000000,https://www.lamudi.com.ph/for-sale-valle-verde-6-brand-new-3-storey-townhouse-in-pasig-nr-eastwood-timog.html,Pasig
"Fully Furnished 5 Bedroom House and Lot for Sale in AFPOVAI, Tagauig City","Western Bicutan, Taguig",House,"House,single-family-house",450,560,4,5,5,121.036376,14.517219,None,78000000,https://www.lamudi.com.ph/house-and-lot-for-sale-in-afpovai-tagauig-city-ful-165995033962.html,Taguig
"For Sale Valle Verde 4 Bedroom House and Lot  in Pasig City near BGC, & Makati","Valle Verde 2, Pasig",House,"House,single-family-house",844,500,None,4,4,121.072923,14.582317,None,150000000,https://www.lamudi.com.ph/for-sale-valle-verde-4-bedroom-house-and-lot-in-pasig-city-near-bgc-makati.html,Pasig
"House and Lot for Sale Afpovai, Taguig City, Fort Bonifacio Nr. BGC","Western Bicutan, Taguig",House,"House,single-family-house",200,410,None,4,5,121.036376,14.517219,None,46800000,https://www.lamudi.com.ph/house-and-lot-for-sale-afpovai-taguig-city-fort-bo-166001577196.html,Taguig
House and Lot For Sale in Quezon City at Greenmeadows Subdivision! 3 Bedroom,Quezon City,House,"House,single-family-house",805,500,3,3,4,121.0443089,14.6621443,None,250000000,https://www.lamudi.com.ph/for-sale-greenmeadows-subdivision-3br-spacious-house-in-quezon-city-ds882264.html,Quezon City
Ayala Heights Brand New House and Lot for Sale in Quezon City nr. Batasan Hills,"Matandang Balara, Quezon City",House,"House,single-family-house",480,820,4,5,5,121.082236,14.665648,None,160000000,https://www.lamudi.com.ph/ayala-heights-brand-new-house-and-lot-for-sale-in-16588047935.html,Quezon City
"For Sale : Fully furnished 3-storey Brand New House and Lot Taguig City, AFPOVAI","Western Bicutan, Taguig",House,"House,single-family-house",200,410,4,4,4,121.036376,14.517219,None,46800000,https://www.lamudi.com.ph/for-sale-fully-furnished-3-storey-brand-new-house-in-taguig-afpovai-nr-bgc.html,Taguig
For Sale Xavierville Ave.4-Storey House and Lot  in Quezon City Nr. Katipunan Ave,"Loyola Heights, Quezon City",House,"House,single-family-house",508,2000,25,7,7,121.076504,14.640624,None,250000000,https://www.lamudi.com.ph/for-sale-xavierville-ave-4-storey-house-and-lot-in-quezon-city-nr-katipunan-ave.html,Quezon City
For Sale  Valle Verde 6 Brand New House with Elevator in Ugong Pasig,"Ugong, Pasig",House,"House,townhouse",238,467,3,5,5,121.072573,14.582943,None,110000000,https://www.lamudi.com.ph/for-sale-valle-verde-6-brand-new-house-with-elevator-in-ugong-pasig.html,Pasig
"For Sale AFPOVAI Modern House and Lot in Taguig City, Fort Bonifacio Nr. BGC","Western Bicutan, Taguig",House,"House,single-family-house",200,410,4,4,5,121.036376,14.517219,None,46800000,https://www.lamudi.com.ph/for-sale-afpovai-modern-house-and-lot-in-taguig-ci-166001577017.html,Taguig
House and Lot for Sale in Quezon City at Pentagon Homes!,"Matandang Balara, Quezon City",House,"House,single-family-house",335,350,4,3,4,121.082236,14.665648,None,38000000,https://www.lamudi.com.ph/for-sale-pentagon-homes-3-bedroom-house-in-quezon-city-nr-diliman-katipunan.html,Quezon City
Mckinley Hill Village Prime Modern House For Sale with Swimming pool in Taguig,"McKinley Hill, Taguig",House,"House,single-family-house",198,450,None,4,5,121.0553,14.53712,None,85000000,https://www.lamudi.com.ph/mckinley-hill-village-prime-modern-house-for-sale-with-swimming-pool-in-taguig.html,Taguig
